Zmienna;j_miary;Kwartal;Rok;Wartosc
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;2;2023;6134
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;1;2023;5668
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;4;2022;5708
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;3;2022;5295
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;2;2022;5020
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;1;2022;5252
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;4;2021;5134
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;3;2021;5347
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;2;2021;5112
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;1;2021;4944
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;4;2020;5012
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;3;2020;4987
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;2;2020;5000
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;1;2020;4567
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;4;2019;4597
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;3;2019;4376
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;2;2019;4484
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;1;2019;4388
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;4;2018;4139
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;3;2018;4385
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;2;2018;4294
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;1;2018;4132
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;4;2017;4145
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;3;2017;4097
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;2;2017;4014
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;1;2017;4424
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;4;2016;4000
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;3;2016;3976
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;2;2016;4063
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;1;2016;4177
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;4;2015;3925
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;3;2015;3961
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;2;2015;4066
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;1;2015;3926
